instruction,output
포나줄(ponazuril)의 뇌척수액(CSF) 농도는 치료 후 7일째에 어느 정도였습니까?,0.162 ± 0.05 mg/L
고혈압 고양이의 치료에 사용되는 약물은 무엇입니까?,고혈압 고양이의 치료에 사용되는 약물은 telmisartan입니다.
개에서 발작의 1년 기간 유병률은 얼마입니까?,0.82%
마취를 이용한 안락사 방법에는 어떤 것들이 있습니까?,마취를 이용한 안락사 방법에는 IV 마취와 함께 포획 볼트 또는 총탄과 같은 물리적 방법을 사용하는 경우가 있습니다.
고양이의 신장 기능 저하는 어떻게 정의됩니까?,"고양이의 신장 기능 저하는 국제 신장 이해 사회 (IRIS)의 지침에 따라 정의되며, 혈중 크레아티닌 농도가 기준 범위보다 높게 나타나는 경우로 정의됩니다."
마이크로サテライト不安定性(MSI)は、口腔悪性黒色腫を含むさまざまな癌で発見されていますか?,はい。マイクロサテライト不安定性（MSI）は、口腔悪性黒色腫を含むさまざまな癌で発見されます。
고양이의 신장 기능을 평가하기 위해 사용되는 일반적인 biomarker는 무엇입니까?,일반적으로 사용되는 고양이의 신장 기능 biomarker는 혈중 크레아티닌 (sCr)입니다.
설문조사에 참여한 수의사들의 성별 비율은 어떻게 됩니까?,"설문조사에서 성별 비율에 대한 구체적인 숫자는 언급되지 않았지만, 데이터 분석 결과에서 '남성'과 '여성'으로 구분하여 결과를 제시했습니다."
"Burgstaller 등의 연구에서, 송아지의 신경학적 검사 결과, 어떤 특징이 관찰되었나요?","송아지는 정상적인 정신 상태를 보였지만, 앞다리는 정상적으로 사용했지만 뒷다리는 비대칭적인 '토끼 뛰기' 방식으로만 움직였습니다."
말의 인슐린 저항성은 어떤 메커니즘으로 발생합니까?,세포 수준에서 인슐린 저항성은 여러 가지 메커니즘을 통해 발생할 수 있습니다. 그중 하나는 세포 저산소증과 산화 스트레스로 인해 인슐린 수용체의 가용성이 감소하는 것입니다.
말의 장내 미생물이 알레르기 반응에 어떻게 영향을 미칠 수 있습니까?,"장내 미생물은 항원 내성을 발달시키는 데 중요한 역할을 합니다. 이는 박테리아와 다른 미생물 자체뿐만 아니라, 그들이 생성하는 펩티도글리칸, 내독소, 단편 사슬 지방산과 같은 다양한 매개체에도 적용됩니다."
PCCL과 OC의 수술 시간과 마취 시간이 유사할 것이라고 예상한 이유는 무엇입니까?,두 가지 절차 모두 유사한 합병증 비율을 가지고 있기 때문에 PCCL과 OC의 수술 시간과 마취 시간이 유사할 것으로 예상되었습니다.
고양이의 만성 소화관 질환 진단에 초음파가 어떻게 도움이 될 수 있나요?,"초음파는 고양이의 정상적인 소화관 구조를 시각화하여, 염증이나 협착과 같은 이상을 발견하는 데 도움을 줄 수 있습니다."
고양이의 극심한 식도 확장은 어떤 수술적 개입을 받았습니까?,arytenoid lateralization surgery
다음 중 한 국가를 대표하는 사람은 누구입니까?,"캐서린 라포인트(Catherine Lapointe), 마이클 라핀(Michael Lappin), 허브 르페브르(Herve Lefebvre), 르네 레귀렛(Renaud Leguillette), 엘리자베스 레논(Elizabeth Lennon)은 각각 캐나다, 미국, 프랑스, 앨버타 주와 노스캐롤라이나 주를 대표합니다."
EHV-1 감염의 신경학적 합병증으로 인해 어떤 증상이 나타날 수 있습니까?,"EHV-1 감염의 신경학적 합병증은 말에서 전염성 말 뇌염(EIM)을 일으킬 수 있으며, 이는 조기 증상으로 열과 함께 운동 기능 장애와 균형 감각 상실을 포함하는 말편마를 유발할 수 있습니다."
개에서 골육종(OSA) 치료를 위한 화학요법으로 사용되는 약물은 무엇입니까?,개에서 골육종 치료를 위한 화학요법으로 사용되는 약물은 도ξ루비신(doxorubicin)입니다.
고칼슘혈증이 신장 기능 장애를 일으키는 네 가지 기전은 무엇입니까?,"고칼슘혈증으로 인한 신장 기능 장애의 네 가지 기전은 혈류 감소, 사구체 여과율 감소, 칼슘으로 인한 tubular 손상, 탈수로 인한 tubular 손상입니다."
CH의 원인은 무엇입니까?,CH는 간 내부의 구리 축적으로 인한 산화 스트레스와 관련이 있습니다.
SAA 수치가 높은 것이 세psis와 어떻게 관련되어 있습니까?,"높은 SAA 수치는 세psis를 나타내는 지표입니다. 연구 결과에 따르면, 세psis를 앓고 있는 말들(foals)은 건강한 말들에 비해 훨씬 높은 SAA 수치를 보였습니다."
개에서 중이염의 가장 흔한 원인은 무엇입니까?,개에서 중이염의 가장 흔한 원인은 세균 감염입니다. 특히 Staphylococcus pseudintermedius가 가장 흔한 세균으로 언급되었습니다.
고양이의 총 갑상선 호르몬 수치가 낮은 경우 어떤 임상 증상이 나타날 수 있습니까?,"고양이의 갑상선 기능 저하증은 다양한 임상 증상을 보일 수 있습니다. 여기에는 체중 증가, 지방 축적, 무기력, 운동 불容lerance, 심박수 감소, 털 빠짐 및 대칭성 탈모가 포함될 수 있습니다."
rivaroxaban의 항-Xa 효과는 어떤 방식으로 측정할 수 있나요?,점별 간이 프로트롬빈 시간(PT)과 트로ンボ엘라스토그래피(TEG) 분석을 통해 rivaroxaban의 항-Xa 효과를 측정할 수 있습니다.
IAD가 주로 영향을 미치는 말의 연령대는 무엇입니까?,IAD는 7세 이상의 말에서 주로 발생합니다.
"개에서 발작(seizure)을 일으키는 질환인 IE의 증상은 발작 자체뿐만 아니라, 발작 전 'prodromal' 단계와 발작 후 'post-ictal' 단계도 포함됩니다. 이 'peri-ictal' 변화 외에도, 많은 개들이 IE로 인해 어떤 행동적 comorbidities를 보이나요?","불안과 공포, ADHD와 유사한 행동"
"건강한 고양이의 췌장에 림프구 침투가 있는 경우, 이는 어떤 영향을 미칠 수 있습니까?",건강한 고양이에서 췌장 림프구 침투는 췌장염의 진단에 영향을 미칠 수 있습니다. 한 연구에서는 건강한 개에서 10% 이상의 림프구 침투를 비정상으로 간주했습니다.
고양이의 삼차신경에 대한 임상 연구가 부족한 이유는 무엇입니까?,고양이의 삼차신경의 임상 연구가 부족한 이유는 이 질환의 복잡성과 다양한 증상으로 인해 연구하기 어렵기 때문입니다.
치와와에서 크raniocervical junction (CCJ) 이상과 syringomyelia (SM)의 연관성에 대해 어떻게 결론 내릴 수 있습니까?,SM은 CM/SM 관련 임상 징후와 통계적으로 유의미한 관련이 있었습니다. 이는 SM이 치와와의 CCJ 이상과 중요한 연관성이 있음을 나타냅니다.
약물 동태학에서 'A'와 'B'는 무엇을 나타냅니까?,"A는 분포 위상에서의 y축 절편이고, B는 제거 위상에서의 y축 절편입니다."
이 연구의 목적은 무엇입니까?,이 연구의 목적은 개와 고양이에서 저나트륨혈증의 역학을 평가하는 것입니다.
개에서 티비알피 (TBRF)를 일으키는 박테리아의 장르는 무엇입니까?,Borrelia
CC motif chemokine ligand 2 (MCP-1)는 어떤 역할을 합니까?,CC motif chemokine ligand 2 (MCP-1)는 염증과 면역 반응을 조절하는 화학 물질입니다.
Esomeprazole의 PK 연구에서 약물 투여 경로는 무엇이었습니까?,"정맥 (IV), 피하 (SC) 및 경구 (PO)"
포유류의 폐렴을 일으키는 주요 병원체인 Rhodococcus equi에 대한 현재 치료법은 무엇입니까?,현재의 표준 치료법은 매크로라이드 항생제와 리팜핀의 조합입니다.
캐벌리어 킹 찰스 스패니얼(CKCS)의 심장 질환 유병률을 줄이기 위해 덴마크 켄넬 클럽에서 시행한 육종 계획의 핵심은 무엇이었나요?,심초음파와 청진에 기반한 육종 계획
이 연구에서 전체 게놈 시퀀싱(WGS)을 사용하여 확인된 돌연변이가 있는 유전자는 무엇입니까?,단백질 티로신 인산화효소 수용체 Q (PTPRQ) 유전자.
이 연구의 주요 결과는 무엇이었습니까?,이 연구의 주요 결과는 칼브의 혈청 IgG 농도와 AEA%였습니다.
"Fenoldopam이 신장 기능에 미치는 영향에 대한 연구에서, 연구자들은 주로 어떤 측면을 평가하고자 했는가?",Fenoldopam이 신장 혈류와 사구체 여과율에 미치는 영향
TSH 농도가 높은 것은 개에서 어떤 질환을 시사합니까?,TSH(갑상선 자극 호르몬) 농도가 높은 것은 개에서 1차성 저갑상선 기능을 나타낼 수 있습니다.
개에서 비장염을 일으키는 바이러스에 의해 발생하는 골격 이상은 무엇입니까?,개에서 비장염을 일으키는 바이러스인 canine distemper virus (CDV)는 metaphyseal sclerosis라는 골격 이상을 유발할 수 있습니다.
이 연구의 주요 목표는 무엇입니까?,"이 연구의 주요 목표는 두 가지 혈구 배양액(PP와 PA)과 저혈당의 진단 정확성을 비교하고, 중환자 칼브에서의 혈액 배양의 오염 위험을 추정하는 것입니다."
개에서 급성 췌장염의 진단은 어떤 조합을 기반으로 합니까?,"임상적 증상, 복부 영상 검사 결과 및 혈청 마커 측정값을 조합하여 개에서 급성 췌장염을 진단합니다."
건강한 송아지와 설사를 하는 송아지의 장내 세균총에는 어떤 차이가 있습니까?,"장내 세균총의 구성과 구조가 다릅니다. 건강한 송아지에서는 Biﬁdobacterium, Megamonas 및 Biﬁdobacteriaceae 과의 미생물이 풍부한 반면, 설사를 하는 송아지에서는 Lachnospiraceae incertae sedis, Dietzia 및 Veillonellaceae 과의 미생물이 풍부합니다."
TRH 자극 검사는 계절에 따라 반복 가능성이 다릅니까?,"예, TRH 자극 검사는 계절에 따라 반복 가능성이 다릅니다. 겨울에는 2주 간격으로 수행했을 때 반복 가능성이 높지만, 가을에는 ACTH 농도의 변화로 인해 반복 가능성이 낮습니다."
"T wave inversion이 개, 특히 복서견의 심장 건강에 대해 무엇을 나타낼 수 있습니까?","T wave inversion은 arrhythmogenic right ventricular cardiomyopathy (ARVC)와 관련이 있을 수 있으며, 이는 복서견에서 관찰되는 특정 심장 상태입니다."
개들의 심장 건강을 평가하기 위해 사용된 방법은 무엇입니까?,"개들의 심장 건강을 평가하기 위해 FETCH 점수, PCR 검사, T 크루즈 IFA 검사, Luminex 기반 멀티플렉스 세로리학 검사, 심전도(ECG), 심초음파 검사가 사용되었습니다."
고양이의 체중 감소를 위해 음식 섭취량을 gradually 줄이는 것이 중요한 이유는 무엇입니까?,"점차적으로 음식 섭취량을 줄이면 고양이가 새로운 식사량에 적응할 수 있고, 체중 감소의 목표를 달성하면서도 건강을 유지할 수 있습니다."
개 심장에서 오른쪽 방의 기능 장애와 관련된 순환 Galectin-3 농도에 대한 연구는 무엇입니까?,개 심장의 오른쪽 방 (우심방) 기능 장애와 관련된 순환 Galectin-3 농도에 대한 연구를 평가합니다.
이 목록에서 미국 외 국가의 리뷰어가 아닌 사람은 누구입니까?,"이 목록에서 미국 이외의 국가 출신의 리뷰어는 Ghita Benchekroun (프랑스), Mette Berendt (덴마크), Allyson Berent (미국), Larry Adams (미국), Emily Berryhill (미국), Darcy Adin (미국), Alexa Bersenas (캐나다), Pamela Adkins (미국), Francois-Rene Bertin (호주), Jørgen Steen Agerholm (덴마크), Nicholas Bexfield (영국), Maia Aitken (영국), Justin Allen (미국), Domenico Bianco (미국), Karin Allenspach (미국), Ulrich Bleul (스위스), Sami Al-Nadaf (캘리포니아, 미국), Shauna Blois (캐나다), Sharif Aly (미국), Stéphane Blot (프랑스), Marisa Ames (미국), Katie Boes (미국), Irina Amorim (포르투갈), Andrea Bohn (미국), Sonia Anor (스페인), Manuel Boller (호주), Douglas Antczak (미국), Geremia Bolli (미국), Ryan Appleby (캐나다), John Bonagura (미국), Itamar Aroch (이스라엘), Sara Bordelon (미국), Luis Arroyo (캐나다), Felicitas Boretti (스위스), Midori Asakawa (미국), Kieran Borgeat (영국)입니다."
L. monocytogenes 감염의 임상적 증상은 무엇입니까?,"L. monocytogenes 감염은 gastroenteritis, maternofetal infections, 그리고 meningoencephalitis를 포함한 다양한 증상을 일으킬 수 있습니다. 이균은 장, 자궁 및 혈뇌 장벽을 통과할 수 있습니다."
이 연구에서 minocycline의 성공적인 치료를 어떻게 정의했나요?,성공적인 치료는 말초혈액에서 E. canis에 대한 PCR 결과가 음성으로 나타나는 것으로 정의되었습니다.
이 연구에서 Gemcitabine의 최대 내약 용량은 무엇입니까?,800 mg/m2
고양이의 비타민 B12 결핍을 진단하기 위한 현재 검사 방법은 무엇입니까?,고양이의 비타민 B12 결핍을 진단하기 위해서는 혈중 메틸말론산(MMA) 농도를 측정하는 검사가 가장 정확합니다.
مولايدوستات은 어떤 효소를 억제합니까?,مولايدوستات يثبط عامل هيدروفيلالبروليل الأوكسجين القابل للذوبان (HIF-PH)
고양이의 이산화요오드 치료 후 iatrogenic hypothyroidism을 진단하는 데 도움이 되는 두 가지 검사는 무엇입니까?,veterinary-specific chemiluminescent fT4 immunoassay와 canine-specific TSH immunoassay입니다.
IV sedation에 사용되는 약물은 무엇입니까?,IV sedation에는 detomidine과 butorphanol이 사용됩니다.
고혈압을 측정하는 데 사용되는 다양한 설정과 기기는 무엇입니까?,"고혈압을 측정하는 데 사용되는 다양한 설정과 기기에는 고양이를 검사대에 올려놓는 방법과 고양이를 그 안에 넣어두는 방법, 그리고 고양이의 품종이 포함됩니다."
개에서 항암 화학 요법이 긍정적인 소변 배양 (PUC)의 주요 원인입니까?,"아닙니다. 연구 결과, 항암 화학 요법이 개에서 PUC의 주요 원인이 아니라는 것이 밝혀졌습니다."
고양이의 갑상선 기능 저하증을 정의하는 기준은 무엇입니까?,고양이의 갑상선 기능 저하증은 tT4 수치가 10 nmol/L 이하이고 TSH 수치가 0.15 ng/mL 이상일 때 정의됩니다.
BAPGM는 무엇의 약어입니까?,Bartonella alpha proteobacteria growth medium (바튼엘라 알파 프로테오박테리아 성장 배지)
이 연구에서 경마장 추적 데이터에 포함된 정보는 무엇입니까?,이 연구에서 경마장 추적 데이터에는 말의 속도와 경주의 거리가 포함되었습니다.
ADMM의 전반적인 유병률은 얼마입니까?,ADMM(후근계통 신경 퇴행)의 전반적인 유병률은 2.0%입니다.
개에서 통증 관리를 위해 일반적으로 사용되는 약물은 무엇입니까?,오피오이드는 개에서 일반적인 수술 후 통증 관리를 위해 사용됩니다.
bronchoalveolar lavage 절차는 어떻게 수행됩니까?,bronchoalveolar lavage 절차는 이전에 설명한 대로 수행됩니다.5 프로토콜 Hema 3b를 사용하여 400개의 세포에 대한 차등 계수를 위한 unﬁltered BALFa의 세포준비를 포함합니다.
NGAL이 속해 있는 단백질 가족의 이름은 무엇입니까?,NGAL은 lipocalin 가족의 단백질입니다.
말에게 gabapentin을 투여하는 이유는 무엇입니까?,신경통 통증을 치료하기 위해 말에게 gabapentin을 투여합니다.
초음파 안내 미세 바늘 흡인술 (FNA)의 위험성은 무엇입니까?,"절차의 위험성은 최소하지만, 방사선 전문의는 FNA가 더 복잡하고 위험하다고 인식하는 경향이 있습니다."
"Alfort National Veterinary School에서 실시한 연구에서, 심초음파 검사를 받은 고양이 중 몇 퍼센트가 심장 질환을 진단받았습니까?","Alfort National Veterinary School에서 실시한 연구에서, 심초음파 검사를 받은 고양이 중 29%가 심장 질환을 진단받았습니다."
히스토플라즈마 감염의 원인인 히스토플라즈마 سبp는 어떤 유형의 곰팡이입니까?,히스토플라즈마는 담자균류(dimorphic fungus)에 속하는 곰팡이입니다.
고양이의 췌장염에 대한 ACVIM 컨센서스 진술의 주요 저자는 누구입니까?,Marnin A. Forman
EVMC의 sedative 프로토콜에서 사용되는 detomidine hydrochloride의 용량은 얼마입니까?,0.08 mg/kg
말의 위에서 발견된 다발성 병변의 원인은 무엇이었을까요?,다발성 병변의 원인은 위궤양으로 인한 것으로 보입니다.
개에서 만성 간질환의 예측 인자는 무엇입니까?,"개에서 만성 간질환의 예측 인자는 간 효소 활동, 혈청 총 단백질, 알부민, PT, aPTT 및 TEG 매개변수(G, MA, K, R 및 LY30)를 포함합니다."
PPI 보충제에 대해 논의한 기사는 어떤 저널에 게재되었습니까?,Journal of Veterinary Internal Medicine
CNM의 가장 흔한 증상은 무엇입니까?,가장 흔한 CNM 증상은 운동 불내증입니다.
ALT와 ALP의 참조 범위는 무엇입니까?,ALT와 ALP의 참조 범위는 각각 <70 U/L 및 <89 U/L입니다.
개에서 동맥관 개존증의 진단에 사용되는 영상 검사 방법은 무엇입니까?,"동맥관 개존증은 개에서 심장과 폐 혈관계의 선천적 이상으로, 주로 심장 초음파와 같은 영상 검사를 통해 진단할 수 있습니다."
C. perfringens가 gây는 질병은 무엇입니까?,급성 설사
개에서 뇌종양으로 인한 제3뇌실의 협착을 치료하기 위한 수술적 요법은 무엇입니까?,제3뇌실의 종양으로 인한 개에서의 뇌협착을 치료하기 위한 수술적 요법은 뇌실복강シャント(ventriculoperitoneal shunt)입니다.
ACEi 치료의 제안된 목표는 무엇입니까?,ACEi 치료의 제안된 목표는 UPC를 0.5 미만으로 줄이거나 기본값에서 50% 이상 줄이는 것입니다.
고양이의 혈압을 측정하는 데 사용되는 방법은 무엇입니까?,고밀도 오실로메트리
다음 중 TL-IVDE 진단의 'TL'의 의미는 무엇입니까?,Thoracolumbar (흉요부)
개에서 하시모토 갑상선 기능 저하증 (HA)을 진단하는 데 사용되는 테스트는 무엇입니까?,"하시모토 갑상선 기능 저하증 (HA)을 진단하기 위해 개에서는 혈중 코르티솔 농도를 측정하는 ACTH 자극 테스트와 함께 complete blood count, serum biochemical profile, urinalysis 및 abdominal ultrasonography가 포함된 포괄적인 검사들이 수행됩니다."
"EPM을 일으키는 원생동물 감염이 의심되는 말에서 네오스포라 휴게시와 톡소포자 곤디 감염의 역할을 평가하기 위한 연구에서, 연구자들은 어떤 두 가지 신경질환 그룹을 비교했습니까?",말에서 EPM(equine protozoal myeloencephalitis)과 CVSM(cervical vertebral stenotic myelopathy)을 비교했습니다.
IL-17이 관여하는 생물학적 과정은 무엇입니까?,"IL-17은 염증을 유발하는 사이토카인으로, 중성구, 단구 및 내피세포의 채용과 활성화에 관여합니다."
M. bovoculi 백신은 어떤 방식으로 투여되었습니까?,피하주사 (SC) 로 투여되었습니다.
FTPI (Failure of Transfer of Passive Immunity)가 일반적인 신생아 말에게 미치는 영향은 무엇입니까?,FTPI는 신생아 말에서 흔히 발생하며 심각한 감염의 위험을 증가시킵니다.
cEHPSS 관리를 위한 의료적 접근법에는 어떤 것들이 있습니까?,"의료적 관리에는 식단 조절, lactulose, 항생제 치료 또는 이들을 조합한 치료가 포함됩니다."
"CVBD가 의심되는 경우, 진단을 위해 어떤 테스트를 해야 합니까?",CVBD(개 벡터성 질병) 진단을 위해서는 IFA(간접 형광 항체 법) 및 PCR(중합효소연쇄반응) 테스트를 포함한 다양한 분자 기반 테스트를 수행해야 합니다.
세피스(sepsis)는 말과 인간 모두에게 어떤 영향을 미칩니까?,세피스는 말과 인간 모두에게 아스코르빈산(비타민 C) 결핍과 중대한 질병 관련 코르티솔 부족을 일으킬 수 있습니다.
항생제 내성이 있는 박테리아를 'MDR'이라고 합니다. 이 연구에서 MDR의 시각적 표현을 위해 MCA가 어떻게 사용되었나요?,MCA는 MDR의 상태와 인구통계학적 요인 간의 관계를 시각적으로 보여주기 위해 사용되었습니다.
개에서 과도한 코르티솔은 어떤 증상을 일으킬 수 있습니까?,근육 약화 및 내장 지방 침착
신생아의 장 내 미생물은 어떻게 획득되는가?,신생아의 장 내 미생물은 출산 후 처음 몇 시간과 며칠 동안 어머니와 환경에서 접촉하는 박테리아에 의해 획득됩니다.
홀스타인 품종의 송아지들이 주로 사용하는 사료는 무엇인가?,홀스타인 품종의 송아지들은 주로 우유와 밀가루를 섞은 사료를 먹습니다.
프로바이오틱스가 건강한 개에서 에스오메프라졸의 부작용을 줄이는 데 도움이 될 수 있다는 가설을 세웠습니다. 이 연구의 결과는 무엇입니까?,건강한 개에서 프로바이오틱스를 동시에 투여해도 에스오메프라졸로 인한 부작용을 줄이지 못한다는 것을 발견했습니다.
개에서 산화 스트레스의 직접적인 지표인 적혈구 내부의 ROS 수치가 증가하는 것은 어떤 유형의 빈혈과 관련이 있습니까?,"산화 스트레스와 관련된 적혈구 내부의 ROS 수치 상승은 모든 유형의 빈혈과 관련이 있지만, 특히 hemolytic anemia에서 더 두드러지게 나타납니다."
표본을 채취하는 데 사용되는 flocked nylon swabs의 장점은 무엇입니까?,표본을 채취하는 데 사용되는 flocked nylon swabs는 개선된 표면 적과 elution 요인을 통해 박테리아와 바이러스 유기체의 회수율을 향상시킵니다.
이 문서의 주제는 무엇입니까?,이 문서는 개에서 비타민 D 대사에 대해 논의합니다.
TDI를 사용하여 말의 심장 기능을 평가하는 데 어떤 이점이 있습니까?,"TDI(Tissue Velocity Imaging)는 말의 심장 기능, 특히 좌심실의 수축 및 이완 기능을 비침습적으로 평가하는 민감하고 정확한 방법입니다. 이는 심장의 구조적 이상을 진단하고 모니터링하는 데 도움이 되며, mitral regurgitation(MR), aortic regurgitation(AR) 및 primary myocardial diseases(MD)와 같은 상태의 영향을 조사하는 데 사용될 수 있습니다."
Ehrlichia canis 감염이 개에게 일으킬 수 있는 임상적 증상은 무엇입니까?,출혈 및 혈소판 감소증과 관련된 임상적 증상.
"고양이의 체중, 몸 상태, 혈중 크레아티닌, 요소, 포도당, 콜레스테롤 수치를 분석할 때 사용되는 통계 테스트는 무엇입니까?",쌍둥이 t-tests
다음 중 위장내 미생물이 가장 많이 변화하는 시기는 언제인가요?,"칼브(calves)가 우유를 먹고 성장하면서, 위장내 미생물은 큰 변화를 겪습니다."
nBAL(nonbronchoscopic bronchoalveolar lavage)이 पशु의 호흡기 건강을 평가하는 데 사용되는 이유는 무엇입니까?,nBAL은 저렴하고 간단하며 해석이 용이하여 호흡기 질환의 원인을 식별하고 호흡기 염증을 평가하는 데 도움이 됩니다.
고양이의 털 색깔과 길이가 갑상선 기능 항진증의 위험과 관련이 있을 수 있다는 증거가 있습니까?,"그렇습니다. 연구에 따르면 tyrosine의 식이 농도가 고양이의 털 색깔에 영향을 미칠 수 있으며, 털 색깔과 갑상선 기능 항진증 사이의 연관성이 있을 수 있음을示하고 있습니다."
PGSD의 진단은 어떤 기준으로 이루어지나요?,"PGSD의 진단은 개가 발작 동안 의식을 잃지 않았는지, 자율 신경계 증상이 있는지 (구토, 배변, 과다 타액 분비), 그리고 발작 후 혼수 상태가 있었는지를 관찰하여 기준을 충족시키는지 여부에 따라 이루어집니다."
개에서 뇌 내부 압력을 측정하는 방법에는 어떤 것들이 있습니까?,"개에서 뇌 내부 압력(dICP)을 측정하는 방법에는 fiberoptic ICP 시스템, tip strain-gauge ICP 시스템, brain MRI, transcranial Doppler 초음파, 그리고 optic nerve sheath diameter(ONSD) 정량화가 포함됩니다."
"구즈만 라모스 등의 연구에서, 가장 자주 분리된 미생물은 무엇이었습니까?",Acinetobacter spp.
BALF(Bronchoalveolar Lavage Fluid) 수액 회수량과 말의 염증 정도 사이에 어떤 관련이 있나요?,말의 염증이 심할수록 BALF 수액 회수량이 감소합니다.
PCR (중합효소연쇄반응)은 Mycoplasma spp.를 검출하는 데 어떻게 사용될 수 있습니까?,PCR은 Mycoplasma spp.의 DNA를 증폭시켜 감지할 수 있습니다.
"FPV(feline panleukopenia virus)에 감염된 고양이에서 구리(Cu), 아연(Zn), 코발라민 농도 측정이 중요한 이유는 무엇입니까?","FPV에 감염된 고양이에서 구리, 아연, 코발라민 농도 측정은 질병의 중증도와 예후를 모니터링하는 데 도움이 됩니다. 이러한 영양소의 불균형은 FPV 감염으로 인한 염증과 장의 흡수 장애와 관련이 있습니다."
개에서 만성 적혈구 증가증의 원인은 무엇입니까?,"만성 폐질환으로 인한 조직 저산소증이 만성 적혈구 증가증의 일반적인 원인으로 간주되지만, 이 연구는 개에서 이러한 연관성에 대한 임상적 데이터를 제공합니다."
MMVD가 개에서 가장 흔한 심장 질환인 이유는 무엇입니까?,"Myxomatous mitral valve disease (MMVD)는 개에서 가장 흔한 심장 질환입니다. 이는 미오마토시스(myxomatous)로 인한 밸브의 점진적인 퇴행으로 인해 발생하며, 결국 심부전과 사망을 초래할 수 있습니다."
전정성 발작은 얼마 동안 지속될 수 있습니까?,전정성 발작은 몇 초에서 몇 분까지 지속될 수 있습니다.
이 연구의 주요 목적은 무엇입니까?,"이 연구의 주요 목적은 호스와 포니의 내분비성 발굽염 재발률을 평가하고, 내분비성 발굽염 재발에 영향을 미치는 위험 요인을 조사하는 것입니다."
Lyme disease와 관련된 주요 면역 반응에는 어떤 것들이 있습니까?,"Th1, Th2, Th9, Th17 및 T-reg 세포가 Lyme disease의 면역 병태생리에 관여합니다."
Electrodiagnostic studies는 무엇을 의미합니까?,Electrodiagnostic studies는 신경계 질환을 진단하고 평가하기 위해 전기적 방법을 사용하여 신체의 신경 및 근육 기능을 테스트하는 것을 의미합니다.
인슐린-당뇨병(ID)이 말 초의 라민티스를 유발하는 메커니즘은 무엇입니까?,고 NSC 식단과 supraphysiological 인슐린 농도는 말 초에 라민티스를 유발합니다.
엔젤리스트 리스트에서 질병을 진단하는 데 도움이 되는 증상으로는 어떤 것이 있습니까?,환자에서 관찰된 임상적 징후와 증상은 원인 질환을 파악하는 데 도움이 될 수 있습니다.
PEG aspirate를 마신 개에서 발생할 수 있는 심각한 합병증은 무엇입니까?,"PEG aspirate로 인한 심각한 합병증으로는 폐렴, 급성 호흡곤란 증후군(ARDS), 다발성 장기 부전, 그리고 사망이 포함될 수 있습니다."
이 연구에서 개들의 심장 질환을 진단하기 위해 어떤 영상 기술을 사용했나요?,이 연구에서는 초음파 검사를 사용하여 개들의 심장 질환을 진단했습니다.
크라니얼 프렉처의 가능한 결과 중 두 가지를 설명하세요.,"크라니얼 프렉처는 뇌염과 감염을 포함한 직접적인 뇌 압축, 염증 및 감염, 혈종과 출혈을 유발할 수 있습니다."
이 연구의 목적은 무엇입니까?,"개에서 HT 증후군의 치료 효과를 평가하기 위한 임상 시험을 실시하고, imepitoin과 위약을 비교하여 개인의 결과 분석과 기본선의 연장 기간을 기준으로 효능을 평가하는 것입니다."
MUO 환자의 치료 결과를 객관적으로 평가하기 위해 개발된 도구는 무엇입니까?,NDS (Numerical Dysfunction Scoring)
고양이의 부신피질 부족증(hypoadrenocorticism)은 주로 어떤 원인에 의해 발생합니까?,고양이의 부신피질 부족증은 면역 매개 림프구염과 부신피질 위축으로 인한 것으로 알려져 있습니다.
다음 문장에서 '의료 과실'을 정의하십시오.,의료 과실은 의료 전문가가 환자 치료 과정에서 실수나 부주의로 인해 발생하는 부정적인 결과를 의미합니다.
심각한 척수 손상으로 인한 신경성 하부 요로 장애의 주요 증상은 무엇입니까?,신경성 하부 요로 장애의 주요 증상은 과민성 방광과 방광-요도 조화 장애입니다.
개에서 자연적으로 발생하는 비급성 Ehrlichia canis 감염을 치료하기 위해 Minocycline가 효과적인 이유는 무엇입니까?,"Minocycline는 비급성 E. canis 감염을 치료하는 데 효과적인 대안으로 사용되어 왔으며, 이 연구에서는 Minocycline가 혈중 E. canis DNA를 효과적으로 제거하는 것으로 나타났습니다."
개에서 심장 종양의 가장 흔한 유형은 무엇입니까?,개에서 심장 종양의 가장 흔한 유형은 hemangiosarcoma입니다.
당뇨병이 있는 개에서 exocrine pancreatic dysfunction (EPI)의 증상은 무엇입니까?,"임상적으로 EPI의 징후와 증상은 다양하며, 영양실조, 설사, 체중 감소, 피부 상태 이상 등이 포함될 수 있습니다."
TACE가 간암 치료에 미치는 이점은 무엇입니까?,"TACE는 간암 치료에 국소적인 효과를 발휘하며, 혈류와 적은 부작용을 제공합니다."
MUE 진단에 필요한 최소 데이터베이스는 무엇입니까?,"최소 데이터베이스에는 CBC, 혈청 생화학 프로필, 뇌척수액 분석, MRI 및 신경학적 검사가 포함됩니다."
이 연구의 주요 목표는 무엇이었습니까?,개에서 음식 알레르기로 인한 가려움증과 임상 증상을 영양적으로 조절하는 것
Jervell의 연구는 온도가 적혈구 응집에 어떻게 영향을 미치는지에 대해 무엇을 밝혀냈습니까?,"Jervell의 연구는 온도가 적혈구 응집에 영향을 미칠 수 있음을 보여주었습니다. 특히, 그는 낮은 온도가 응집을 감소시키고 높은 온도가 응집을 증가시키는 것을 발견했습니다."
